id,type,name,aliases,region,state,city,lat,lon,facets,what,root,kin,sources,tier,confidence,needs_verification,updated,url
alabama-white,style,Alabama white sauce wings,white barbecue sauce wings|white sauce wings|Decatur-style,the-south|us,AL,,,,"{""state"": ""AL"", ""cut"": ""whole wing"", ""base"": ""dairy"", ""cooked"": ""smoked"", ""heat"": ""mild""}","Wings smoked over hickory and then coated or dunked in white sauce — a mayonnaise-based barbecue sauce with vinegar, lemon juice, black pepper, salt, and in many versions cayenne and horseradish. It is thin, sharp and pale, and it goes on at the end of the cook rather than during it, because mayonnaise breaks over heat. The result is tangy rather than sweet, with none of the tomato or molasses a reader expects from the word barbecue.",,alabama-white-sauce|big-bob-gibson-bar-b-q|bob-gibson|smoked-bbq-wing|ranch-dressing|smoke-then-fry|sauce-on-the-side|memphis-dry-rub|buffalo,s:wp-barbecue-in-alabama|s:wp-barbecue-in-the-united-states|s:wp-ranch-dressing|s:this-project,cited,medium,True,2026-09-16,https://nanobotco.github.io/buffalo-wings/style/alabama-white/
atlanta-lemon-pepper,style,Lemon pepper wings,lemon pepper dry|lemon pepper wet|LP wings,atlanta|the-south|us,GA,,,,"{""state"": ""GA"", ""cut"": ""party wing"", ""base"": ""citrus-pepper"", ""cooked"": ""fried"", ""heat"": ""mild""}","A wing cooked without breading and finished in lemon pepper — granulated lemon zest mashed with cracked black pepper, then baked and dried, usually with salt and sugar in the blend. Atlanta orders it two ways. Dry means the seasoning goes on alone. Wet means a sauce underneath it, butter or a lemon sauce or Buffalo, with the dry seasoning shaken over the top. The wing plate comes with fried rice at a great many Atlanta counters, and Wikipedia calls the dish emblematic of the city's cuisine.",,lemon-pepper-seasoning|lemon-pepper-wet|american-deli|jr-cricketts|wing-cafe|fried-rice-plate|all-flats|wet-and-dry|wingstop|buffalo|memphis-dry-rub,s:wp-lemon-pepper-wings|s:wp-lemon-pepper|s:wp-buffalo-wing|s:wp-wingstop|s:web-ncc-wings-hot-topic|s:this-project,cited,high,False,2026-09-16,https://nanobotco.github.io/buffalo-wings/style/atlanta-lemon-pepper/
baltimore-old-bay,style,Old Bay wings,Chesapeake wings|crab-spiced wings|crab seasoning wings,baltimore|us,MD,,,,"{""state"": ""MD"", ""cut"": ""party wing"", ""base"": ""dry-rub"", ""cooked"": ""fried"", ""heat"": ""mild""}","A wing finished in Old Bay — a blend of eighteen herbs and spices built in Baltimore in 1939, celery salt first, with red and black pepper and paprika, and bay leaves, mustard, cardamom, cloves and ginger among the rest. It goes on dry out of the fryer, or in butter as a wet toss, and it is the same can that goes on steamed blue crab, on fries, on popcorn and around the rim of a beer glass. Salt and celery seed do the work, not heat; a customer who wants heat adds hot sauce on top.",,old-bay|memphis-dry-rub|atlanta-lemon-pepper|wet-and-dry|naked-fry|french-fries|chickie-and-petes|buffalo|hot-sauce-labels,s:wp-old-bay-seasoning|s:wp-buffalo-wing|s:this-project,cited,medium,True,2026-09-16,https://nanobotco.github.io/buffalo-wings/style/baltimore-old-bay/
buffalo,style,Buffalo wings,Buffalo-style wings|hot wings|wings,western-ny|us,NY,,,,"{""state"": ""NY"", ""cut"": ""party wing"", ""base"": ""cayenne-butter"", ""cooked"": ""fried"", ""heat"": ""medium""}","A chicken wing cut into a drumette and a flat, deep-fried bare — no batter, no flour — then shaken in a bowl with melted butter and a vinegar-based cayenne pepper sauce, and served hot with celery, carrot sticks and a dip of blue cheese or ranch. Heat runs mild, medium and hot, and the order names the heat before it names the count. The wing is named for Buffalo, New York, and has nothing to do with the animal.",,anchor-bar|john-young|teressa-bellissimo|buffalo-sauce|celery-and-carrots|blue-cheese-dressing|naked-fry|rochester-breaded|the-origin-fight|buffalo-word,s:wp-buffalo-wing|s:wp-anchor-bar|s:trillin-1980|s:wp-buffalo-new-york,cited,high,False,2026-09-16,https://nanobotco.github.io/buffalo-wings/style/buffalo/
caribbean-jerk,style,Jerk wings,Jamaican jerk wings|jerk chicken wings,caribbean-american|nyc|florida|new-england|us,,,,,"{""cut"": ""whole wing"", ""base"": ""other"", ""cooked"": ""grilled"", ""heat"": ""hot""}","Wings dry-rubbed or wet-marinated in Jamaican jerk seasoning and cooked over fire until the outside blackens. Allspice and Scotch bonnet peppers carry it; cloves, cinnamon, scallions, nutmeg, thyme, garlic, brown sugar, ginger, soy sauce, vinegar and salt fill it out. The seasoning goes on before the heat, which is the whole difference from a wing that gets sauced after the fryer. Smoke comes from the fuel — pimento wood traditionally, charcoal in a split oil drum in most places that sell it — and the finish is char, not gloss. A scotch-bonnet sauce goes on afterward at the counter's discretion.",,jerk-marinade|peppas-jerk-chicken|grill|the-toss|smoked-bbq-wing|mango-habanero|buffalo|brine|blondies-sports-bar,s:wp-jerk-cooking|s:web-black-owned-brooklyn-peppas|s:web-jeremiahs-menu|s:this-project,cited,medium,True,2026-09-16,https://nanobotco.github.io/buffalo-wings/style/caribbean-jerk/
chicago-mild-sauce,style,Chicago mild sauce wings,mild sauce wings|South Side wings|fried hard with mild,chicago|us,IL,,,,"{""state"": ""IL"", ""base"": ""sweet-tomato"", ""cooked"": ""fried"", ""heat"": ""mild""}","Wings fried hard — left in the oil past golden until the skin goes dark and brittle — then handed over a counter in a box with french fries and a slice of white bread, the whole box doused in mild sauce. Mild sauce is a tomato condiment of Chicago's Black South and West Sides: ketchup and tomato paste with sugar, vinegar and spices, pungent and sweet with a vinegar sting. It is a pour, not a toss. The sauce goes over everything in the box, and the bread and the fries take as much of it as the wings do.",,mild-sauce|mild-sauce-word|harolds-chicken-shack|uncle-remus-saucy-fried-chicken|harold-pierce|argia-b-collins|french-fries|extra-crispy|dc-mumbo|chicken-shack-signs|buffalo,s:wp-mild-sauce|s:wp-harold-s-chicken-shack|s:web-atk-chicago-mild-sauce|s:web-boundary-stones-mumbo|s:wp-mumbo-sauce|s:this-project,cited,medium,True,2026-09-16,https://nanobotco.github.io/buffalo-wings/style/chicago-mild-sauce/
dc-mumbo,style,Mumbo sauce wings,mambo sauce wings|wings and mumbo|carryout wings,dc|us,DC,,,,"{""state"": ""DC"", ""cut"": ""whole wing"", ""base"": ""sweet-tomato"", ""cooked"": ""fried"", ""heat"": ""mild""}","Fried chicken wings, usually whole and uncut, sold through the window of a Washington carryout and drowned in mumbo sauce — red, sweeter than barbecue sauce and by turns sharper or more sour, depending whose kitchen made it. The same sauce goes on french fries, fried jumbo shrimp and fried rice, and the wings-over-fried-rice box is the form the dish most often takes across the D.C., Maryland and Virginia carryouts. The sauce arrives poured, not tossed, and the container it comes in is styrofoam.",,mumbo-sauce|mumbo|yums-carry-out|horaces-and-dickies|capital-city-mambo-sauce|argia-b-collins|john-young|mumbo-fries|fried-rice-plate|chicago-mild-sauce|buffalo,s:wp-mumbo-sauce|s:web-boundary-stones-mumbo|s:wp-american-chinese-cuisine|s:wp-buffalo-wing|s:this-project,cited,medium,True,2026-09-16,https://nanobotco.github.io/buffalo-wings/style/dc-mumbo/
garlic-parm,style,Garlic parmesan wings,garlic parm|parm wings|garlic parmesan,western-ny|upstate-ny|new-england|philadelphia|us,,,,,"{""cut"": ""party wing"", ""base"": ""herb-garlic"", ""cooked"": ""fried"", ""heat"": ""none""}","A fried wing tossed in melted butter or oil with garlic and grated parmesan, often with dried herbs and black pepper, sometimes finished with more cheese out of the bowl so it sits in visible flecks. It carries no chile heat, which is the point: it is the order placed by the person at the table who does not want heat, and it sells beside Buffalo rather than against it. Some kitchens pour it as a sauce, some dust dry cheese onto a buttered wing, and the two versions eat differently — one slick, one powdery.",,garlic-parmesan-sauce|la-nova-pizzeria|buffalo-chicken-pizza|pizza-logs|jeremiahs-tavern|wingstop|the-toss|naked-fry|ranch-dressing|buffalo,s:web-aytm-wing-survey|s:web-ncc-wings-hot-topic|s:web-jeremiahs-menu|s:wp-anchor-bar|s:wp-buffalo-wing|s:this-project,inference,low,True,2026-09-16,https://nanobotco.github.io/buffalo-wings/style/garlic-parm/
korean-american,style,Korean fried chicken wings,KFC (Korean fried chicken)|yangnyeom wings|soy garlic wings|chikin,korean-american|nyc|socal|us,,,,,"{""cut"": ""whole wing"", ""base"": ""soy-sweet"", ""cooked"": ""double-fried"", ""heat"": ""medium""}","Chicken fried twice so the crust comes out thin and brittle — Julia Moskin of The New York Times called it ""thin, crackly and almost transparent"" — then hand-painted with sauce by brush rather than shaken in a bowl, so the coating stays a thin film and the crust keeps its snap. Two sauces carry the style: yangnyeom, sweet and spicy on a gochujang base, and ganjang, soy and sugar and a great deal of garlic. Wings and drums arrive whole or jointed depending on the house. Pickled radish comes in a tub alongside, and beer with it; the pairing has its own word, chimaek, from chicken and maekju.",,double-fry|yangnyeom-sauce|soy-garlic-sauce|pickled-radish|bonchon|the-pitcher|the-toss|boneless-wings|buffalo|sweet-chili-sauce,s:wp-korean-fried-chicken|s:wp-bonchon-chicken|s:wp-gochujang|s:web-ncc-superbowl-lx|s:this-project,cited,high,False,2026-09-16,https://nanobotco.github.io/buffalo-wings/style/korean-american/
memphis-dry-rub,style,Memphis dry-rub wings,dry wings|dry rub wings|dry heat,memphis|the-south|us,TN,,,,"{""state"": ""TN"", ""cut"": ""party wing"", ""base"": ""dry-rub"", ""cooked"": ""mixed"", ""heat"": ""medium""}","A wing finished with the rub that Memphis puts on ribs — salt and a spice blend, house by house, usually paprika-led — and handed over without sauce. The city's rib counters run the dry-and-wet split: dry means rubbed before cooking and eaten as is, wet means brushed with sauce before, during and after. The wing borrows the split whole. It comes off a smoker at some houses, out of a fryer at others, and off both at a few, and the rub goes on at the end either way so the seasoning stays granular instead of dissolving.",,memphis-rub|central-bbq|chings-hot-wings|smoked-bbq-wing|wet-and-dry|naked|the-toss|sauce-on-the-side|atlanta-lemon-pepper|alabama-white,s:wp-memphis-style-barbecue|s:web-memphis-flyer-wings|s:wp-barbecue-in-the-united-states|s:this-project,cited,medium,True,2026-09-16,https://nanobotco.github.io/buffalo-wings/style/memphis-dry-rub/
